data,preco de abertura,preco do ultimo negocio
20200102,0000000012000,0000000012134
20200103,0000000012120,0000000012158
20200106,0000000012070,0000000012218
20200107,0000000012215,0000000012248
20200108,0000000012240,0000000012351
20200109,0000000012500,0000000012720
20200110,0000000012710,0000000012774
20200113,0000000012710,0000000013180
20200114,0000000013110,0000000012970
20200115,0000000013040,0000000013025
20200116,0000000013000,0000000013228
20200117,0000000013300,0000000013311
20200120,0000000013501,0000000013500
20200121,0000000013506,0000000013386
20200122,0000000013300,0000000013381
20200123,0000000013381,0000000013357
20200124,0000000013431,0000000013399
20200127,0000000013100,0000000012902
20200128,0000000013000,0000000013386
20200129,0000000013640,0000000013657
20200130,0000000013760,0000000013637
20200131,0000000013637,0000000013334
20200203,0000000013200,0000000013153
20200204,0000000013408,0000000013492
20200205,0000000013615,0000000013671
20200206,0000000013820,0000000013992
20200207,0000000013971,0000000013887
20200210,0000000013720,0000000013942
20200211,0000000013880,0000000013892
20200212,0000000014000,0000000014299
20200213,0000000014000,0000000014222
20200214,0000000014000,0000000014014
20200217,0000000014765,0000000014216
20200218,0000000014213,0000000013972
20200219,0000000014000,0000000014168
20200220,0000000014200,0000000014127
20200221,0000000014000,0000000013813
20200226,0000000013000,0000000013077
20200227,0000000012700,0000000012288
20200228,0000000012007,0000000011911
20200302,0000000012550,0000000013236
20200303,0000000013407,0000000013119
20200304,0000000013379,0000000013914
20200305,0000000013790,0000000013446
20200306,0000000013101,0000000013531
20200309,0000000012540,0000000012610
20200310,0000000012990,0000000013034
20200311,0000000013090,0000000012005
20200312,0000000011999,0000000011100
20200313,0000000012400,0000000012860
20200316,0000000012000,0000000011800
20200317,0000000011900,0000000012429
20200318,0000000012400,0000000012649
20200319,0000000012730,0000000012468
20200320,0000000012465,0000000011430
20200323,0000000011520,0000000011225
20200324,0000000012020,0000000012346
20200325,0000000012760,0000000012500
20200326,0000000012500,0000000012580
20200327,0000000012820,0000000012843
20200330,0000000013000,0000000013135
20200331,0000000013799,0000000013262
20200401,0000000013040,0000000012720
20200402,0000000012650,0000000012740
20200403,0000000012969,0000000012800
20200406,0000000013100,0000000013820
20200407,0000000013990,0000000013751
20200408,0000000013810,0000000013712
20200409,0000000013800,0000000013755
20200413,0000000013800,0000000014180
20200414,0000000014620,0000000014986
20200415,0000000014875,0000000014990
20200416,0000000015100,0000000015097
20200417,0000000015097,0000000014826
20200420,0000000014860,0000000014839
20200422,0000000014760,0000000015105
20200423,0000000015020,0000000015305
20200424,0000000015680,0000000016110
20200427,0000000016110,0000000016253
20200428,0000000015940,0000000015503
20200429,0000000015740,0000000015583
20200430,0000000016109,0000000015909
20200504,0000000015909,0000000016170
20200505,0000000016269,0000000016650
20200506,0000000017000,0000000017279
20200507,0000000017999,0000000017787
20200508,0000000017820,0000000017901
20200511,0000000021200,0000000018527
20200512,0000000018600,0000000018571
20200513,0000000018340,0000000018160
20200514,0000000018160,0000000017841
20200515,0000000017777,0000000017814
20200518,0000000018000,0000000018196
20200519,0000000018196,0000000018224
20200520,0000000018224,0000000018172
20200521,0000000018200,0000000017782
20200522,0000000017940,0000000017762
20200525,0000000018398,0000000017762
20200526,0000000017560,0000000016851
20200527,0000000016900,0000000016779
20200528,0000000016739,0000000017200
20200529,0000000017300,0000000017133
20200601,0000000017133,0000000017308
20200602,0000000017251,0000000016840
20200603,0000000017000,0000000016549
20200604,0000000016699,0000000016453
20200605,0000000016455,0000000016400
20200608,0000000016400,0000000016219
20200609,0000000016440,0000000016745
20200610,0000000017000,0000000017362
20200612,0000000017362,0000000017002
20200615,0000000017100,0000000017650
20200616,0000000017900,0000000018350
20200617,0000000018569,0000000018487
20200618,0000000018900,0000000019300
20200619,0000000019050,0000000018578
20200622,0000000018500,0000000019110
20200623,0000000018860,0000000018824
20200624,0000000018980,0000000019350
20200625,0000000019119,0000000019400
20200626,0000000019401,0000000019519
20200629,0000000019720,0000000019544
20200630,0000000019620,0000000019850
20200701,0000000019850,0000000019450
20200702,0000000019305,0000000019590
20200703,0000000019590,0000000019650
20200706,0000000019650,0000000020316
20200707,0000000020114,0000000020151
